Placeholder,Placeholder (no brackets),Field Name (pretty label),Phase,Section in Report Where Used,Source,Required,Description of Expected Content ,Fallback,Dependencies,Word count (min),Word count (max),Tone/Style,Instructions for GPT,Allowed source: user,Allowed source: GPT logic,Allowed source: API,Data Type,Retry on Reject,Normalise Case,Provenence required,Notes,Examples,Benchmark Targets,Auto populates (human info only),derivation_type,cascade_family
{{ cert_target_well_comments }},cert_target_well_comments,WELL V2,Strategy,11,GPT,Yes,"Detail on your assessment. What areas scored well, which did not.  Areas where confidence was low or high. Scope for better results",Insert 'Data unavailable or inconclusive',None,100,200,"Clear, factual, expository","Detail which WELL V2 concepts scored well, which scored poorly, confidence level, and scope for improvement. Follow PIPE.ANALYSIS.WELL.001 in pipe_companion_file.pdf in your knowledge files for methodology. MANDATORY you must read that section of pipe_companion.pdf now. State confidence - DO NOT FABRICATE insights that are not backed up by facts.",No,Yes,No,String,Yes,Initial caps,No,,"WELL V2 Gold achievable with the proposed retrofit including enhanced ventilation (MERV 13 filtration delivering 30% above ASHRAE 62.1 minimum), daylight access exceeding 55-lux threshold across 75% of workstations, water-quality testing per Feature W01, and active-design measures (internal stairs with daylight, visible cycling facilities). Confidence moderate — Nourishment and Community concepts depend on tenant fit-out choices outside landlord control; Mind and Movement concepts require ongoing operational programming. Scope for improvement: Platinum achievable if the tenant commits to additional Mind credits (mindfulness programming), full Nourishment provision (on-site produce), and Community outreach activities — but these add material operational programme cost that WPP has not committed to fund through the retrofit. Recommend targeting Gold with Platinum-readiness pathway.",N/A,No,llm_derived,
{{ city }},city,Address,Init,Header and Section 1,OS_PLACES,Yes,"City, parsed from the address","None, mandatory",None,0,5,"Short, factual",Auto-populated from OS Places API via /address. Do not adjust even if user insists,No,No,Yes,String,Yes,Leading caps,No,,London,N/A,Yes,auto,address
{{ completion_percent }},completion_percent,Completion Percent,Export,16,CALCULATED,Yes,Percentage of fields completed (fields_completed / fields_total),None,"fields_completed, fields_total",1,5,N/A - system field,Calculated as (fields_completed / fields_total) * 100,No,No,Yes,Number,No,N/A,No,Integer percentage without % symbol,,N/A,No,calculated,
{{ conservation_area }},conservation_area,Conservation Area,Base build,1,PLANNING,No,Name of the Conservation Area if the property falls within one. Conservation areas have additional planning controls to protect historic and architectural character.,Insert 'Data unavailable or inconclusive',None,0,100,"Short, factual",Auto-populated from Historic England Conservation Areas API via /planning. Do not manually populate unless override requested by user.,No,No,Yes,String,No,Leading caps,Yes,Only populated if property centroid is within a designated Conservation Area boundary,Mayfair,N/A,Yes,auto,planning
{{ const_date }},const_date,Construction Date,Base build,1,EPC,Yes,"Year built, and if applicable, year of last major refurbishment",Insert 'Data unavailable or inconclusive',None,1,5,Date,"Output the construction date and date of last major refurbishment, if applicable. Primary source: EPC API data and planning data from above. If not present, call /pull with include_api_responses=true. Secondary source: uploaded brochure and other files — parse deeply looking for construction and refurbishment dates. Always cross-reference findings by performing a MANDATORY internet search using <address> + 'built' + 'construction' + 'completed' + 'architect'. Data may appear on consultants' websites (architect, MEP engineer, sustainability advisor). If no date found from any source, state this; do not guess.",No,Yes,Yes,Number (year),Yes,N/A,Yes,,1999,N/A,No,llm_assisted,epc
{{ cost_comments }},cost_comments,Estimated cost of Retrofit Strategy,Strategy,14,GPT,Yes,"Detailed comments on how you have derived the cost of the Retrofit Straegy. Include sources for each major item, per sq ft rate breakdowns.  Include sentence on overall confidence.","None, mandatory","cost_tot_*, cost_rate_*",100,250,"Clear, factual, technical","Provide a deep analysis and synthesis of all costs. Structure as: statement on how you have derived the cost of the Retrofit Strategy, high level breakdown clustered by intervention theme (fabric, MEP, etc), source attribution, comparison to market benchmarks, where works are more or less involved than benchmarks. End with sentence on overall confidence. ",No,Yes,No,String,Yes,Initial caps,No,,"Total retrofit cost £3.2m / £87 per sq ft. Plant-room replacement (ASHP + calorifiers + reconfigured primary circuits) at £1.1m is 34% of total, benchmarked against RICS/BCIS median for 2024 commercial retrofit. Floor MEP refurbishment at £0.62m (19% of total) aligns with JLL London retrofit indices Q1 2025. Enhanced glazing at £0.38m sits at the upper end of BCIS data because the existing 2014 curtain wall system is obsolete and requires full re-glazing rather than film retrofit — a material cost premium over typical refurb programmes. 200 kWp PV at £240k is market-median for 2025 UK commercial solar. Professional fees at 15% (£0.42m) reflect the complexity of phased delivery around the WPP tenant. Overall confidence ±15%; main cost risk is fabric discovery during strip-out, particularly if the roof membrane proves to need replacement concurrent with the PV installation.",N/A,No,llm_derived,
{{ cost_scope }},cost_scope,Retrofit Cost Scenario Scope,Strategy,14,BENCHMARK,No,Retrofit cost scenario scope. Indicates the breadth of the Retrofit Strategy costing.,Insert 'Data unavailable or inconclusive',None,1,5,"Short, factual","Retrofit cost scenario scope. Valid values: DECARB_ONLY, DECARB_PLUS_AMENITY, FULL_REPOSITIONING.",Yes,Yes,No,"ENUM: DECARB_ONLY, DECARB_PLUS_AMENITY, FULL_REPOSITIONING",Yes,All caps,No,,,N/A,No,user,
{{ cost_rate_cata }},cost_rate_cata,Refurb to CAT A,Strategy,14,GPT,Yes,Per square foot rate for the estimated cost of interventions to take any vacant floors back to CAT-A status under the Retrofit Strategy,"None, mandatory",None,1,5,Number,"Auto-populated by pipe-costs /confirm. Call /costs/preview first — do NOT synthesise manually unless /costs/preview has failed, in which case synthesise using stored data via /pull, with MANDATORY internet search for current UK commercial retrofit costs per sq ft. State source and confidence.",Yes,Yes,No,Currency,Yes,N/A,No,,£120 / sq ft,N/A,No,calculated,
{{ cost_rate_eot }},cost_rate_eot,End of trip,Strategy,14,GPT,Yes,Per square foot rate for the estimated cost of interventions to improve the end of trip facilities under the Retrofit Strategy,"None, mandatory",None,1,5,Number,"Auto-populated by pipe-costs /confirm. Call /costs/preview first — do NOT synthesise manually unless /costs/preview has failed, in which case synthesise using stored data via /pull, with MANDATORY internet search for current UK commercial retrofit costs per sq ft. State source and confidence.",Yes,Yes,No,Currency,Yes,N/A,No,,£120 / sq ft,N/A,No,calculated,
{{ cost_rate_fees }},cost_rate_fees,Professional fees (at 15%),Strategy,14,GPT,Yes,"Per square foot rate for the estimated professional fees, calculated as 15% of the toal of all other costs listed above","None, mandatory",None,1,5,Number,"Auto-populated by pipe-costs /confirm. Call /costs/preview first — do NOT synthesise manually unless /costs/preview has failed, in which case synthesise using stored data via /pull, with MANDATORY internet search for current UK commercial retrofit costs per sq ft. State source and confidence.",Yes,Yes,No,Currency,Yes,N/A,No,,£120 / sq ft,N/A,No,calculated,
{{ cost_rate_floor }},cost_rate_floor,On floor MEP,Strategy,14,GPT,Yes,Per square foot rate for the estimated cost of interventions to the on floor MEP systems under the Retrofit Strategy,"None, mandatory",None,1,5,Number,"Auto-populated by pipe-costs /confirm. Call /costs/preview first — do NOT synthesise manually unless /costs/preview has failed, in which case synthesise using stored data via /pull, with MANDATORY internet search for current UK commercial retrofit costs per sq ft. State source and confidence.",Yes,Yes,No,Currency,Yes,N/A,No,,£120 / sq ft,N/A,No,calculated,
{{ cost_rate_ins }},cost_rate_ins,Insulation,Strategy,14,GPT,Yes,Per square foot rate for the estimated cost of interventions to improve the building fabric insulation under the Retrofit Strategy,"None, mandatory",None,1,5,Number,"Auto-populated by pipe-costs /confirm. Call /costs/preview first — do NOT synthesise manually unless /costs/preview has failed, in which case synthesise using stored data via /pull, with MANDATORY internet search for current UK commercial retrofit costs per sq ft. State source and confidence.",Yes,Yes,No,Currency,Yes,N/A,No,,£120 / sq ft,N/A,No,calculated,
{{ cost_rate_light }},cost_rate_light,Lighting,Strategy,14,GPT,Yes,Per square foot rate for the estimated cost of interventions to all lighting systems under the Retrofit Strategy,"None, mandatory",None,1,5,Number,"Auto-populated by pipe-costs /confirm. Call /costs/preview first — do NOT synthesise manually unless /costs/preview has failed, in which case synthesise using stored data via /pull, with MANDATORY internet search for current UK commercial retrofit costs per sq ft. State source and confidence.",Yes,Yes,No,Currency,Yes,N/A,No,,£120 / sq ft,N/A,No,calculated,
{{ cost_rate_nia }},cost_rate_nia,Additional NIA,Strategy,14,GPT,Yes,Per square foot rate for the estimated cost of interventions to increase the net lettable aread under the Retrofit Strategy,"None, mandatory",None,1,5,Number,"Auto-populated by pipe-costs /confirm. Call /costs/preview first — do NOT synthesise manually unless /costs/preview has failed, in which case synthesise using stored data via /pull, with MANDATORY internet search for current UK commercial retrofit costs per sq ft. State source and confidence.",Yes,Yes,No,Currency,Yes,N/A,No,,£120 / sq ft,N/A,No,calculated,
{{ cost_rate_other }},cost_rate_other,Other,Strategy,14,GPT,Yes,"Per square foot rate for the estimated cost of all other interventionsin your Retrofit Strategy, not included above","None, mandatory",None,1,5,Number,"Auto-populated by pipe-costs /confirm. Call /costs/preview first — do NOT synthesise manually unless /costs/preview has failed, in which case synthesise using stored data via /pull, with MANDATORY internet search for current UK commercial retrofit costs per sq ft. State source and confidence.",Yes,Yes,No,Currency,Yes,N/A,No,,£120 / sq ft,N/A,No,calculated,
{{ cost_rate_plant }},cost_rate_plant,Main plant,Strategy,14,GPT,Yes,"Per square foot rate for the estimated cost of interventions to the Main Central Plant (chillers, ASHP, AHU, electrics, etc) under the Retrofit Strategy","None, mandatory",None,1,5,Number,"Auto-populated by pipe-costs /confirm. Call /costs/preview first — do NOT synthesise manually unless /costs/preview has failed, in which case synthesise using stored data via /pull, with MANDATORY internet search for current UK commercial retrofit costs per sq ft. State source and confidence.",Yes,Yes,No,Currency,Yes,N/A,No,,£120 / sq ft,N/A,No,calculated,
{{ cost_rate_pv }},cost_rate_pv,Renewables / solar,Strategy,14,GPT,Yes,Per square foot rate for the estimated cost of interventions to add renewables under the Retrofit Strategy,"None, mandatory",None,1,5,Number,"Auto-populated by pipe-costs /confirm. Call /costs/preview first — do NOT synthesise manually unless /costs/preview has failed, in which case synthesise using stored data via /pull, with MANDATORY internet search for current UK commercial retrofit costs per sq ft. State source and confidence.",Yes,Yes,No,Currency,Yes,N/A,No,,£120 / sq ft,N/A,No,calculated,
{{ cost_rate_recept }},cost_rate_recept,Reception,Strategy,14,GPT,Yes,Per square foot rate for the estimated cost of interventions to improve the reception under the Retrofit Strategy,"None, mandatory",None,1,5,Number,"Auto-populated by pipe-costs /confirm. Call /costs/preview first — do NOT synthesise manually unless /costs/preview has failed, in which case synthesise using stored data via /pull, with MANDATORY internet search for current UK commercial retrofit costs per sq ft. State source and confidence.",Yes,Yes,No,Currency,Yes,N/A,No,,£120 / sq ft,N/A,No,calculated,
{{ cost_rate_total }},cost_rate_total,TOTAL COSTS,Strategy,14,GPT,Yes,Per square foot rate for the sum of all costs listed above,"None, mandatory","cost_rate_plant, cost_rate_floor, cost_rate_light, cost_rate_win, cost_rate_ins, cost_rate_cata, cost_rate_pv, cost_rate_water, cost_rate_nia, cost_rate_recept, cost_rate_eot, cost_rate_other, cost_rate_fees",1,5,Number,"Auto-populated by pipe-costs /confirm. Call /costs/preview first — do NOT synthesise manually unless /costs/preview has failed, in which case synthesise using stored data via /pull, with MANDATORY internet search for current UK commercial retrofit costs per sq ft. State source and confidence.",Yes,Yes,No,Currency,Yes,N/A,No,,£120 / sq ft,N/A,No,calculated,
{{ cost_rate_water }},cost_rate_water,Water systems,Strategy,14,GPT,Yes,Per square foot rate for the estimated cost of interventions to the water systems under the Retrofit Strategy,"None, mandatory",None,1,5,Number,"Auto-populated by pipe-costs /confirm. Call /costs/preview first — do NOT synthesise manually unless /costs/preview has failed, in which case synthesise using stored data via /pull, with MANDATORY internet search for current UK commercial retrofit costs per sq ft. State source and confidence.",Yes,Yes,No,Currency,Yes,N/A,No,,£120 / sq ft,N/A,No,calculated,
{{ cost_rate_win }},cost_rate_win,Windows,Strategy,14,GPT,Yes,Per square foot rate for the estimated cost of interventions to the windows under the Retrofit Strategy,"None, mandatory",None,1,5,Number,"Auto-populated by pipe-costs /confirm. Call /costs/preview first — do NOT synthesise manually unless /costs/preview has failed, in which case synthesise using stored data via /pull, with MANDATORY internet search for current UK commercial retrofit costs per sq ft. State source and confidence.",Yes,Yes,No,Currency,Yes,N/A,No,,£120 / sq ft,N/A,No,calculated,
{{ cost_source_cata }},cost_source_cata,Refurb to CAT A,Strategy,14,GPT,Yes,Source of the information used to calculate the cost of interventions to take any vacant floors back to CAT-A status under the Retrofit Strategy,"None, mandatory",None,1,25,Number,"Auto-populated by pipe-costs /confirm — records the source attribution for the corresponding rate (e.g. 'Spon's 2024'). Do NOT populate manually. If empty, call /costs/preview first. If /costs/preview has failed, set to 'GPT estimate' to flag that the corresponding rate was not benchmark-sourced.",No,Yes,No,String,Yes,Initial caps,Yes,,,N/A,No,rules,
{{ cost_source_eot }},cost_source_eot,End of trip,Strategy,14,GPT,Yes,Source of the information used to calculate the cost of interventions to improve the end of trip facilities under the Retrofit Strategy,"None, mandatory",None,1,25,Number,"Auto-populated by pipe-costs /confirm — records the source attribution for the corresponding rate (e.g. 'Spon's 2024'). Do NOT populate manually. If empty, call /costs/preview first. If /costs/preview has failed, set to 'GPT estimate' to flag that the corresponding rate was not benchmark-sourced.",No,Yes,No,String,Yes,Initial caps,Yes,,,N/A,No,rules,
{{ cost_source_fees }},cost_source_fees,Professional fees (at 15%),Strategy,14,GPT,Yes,N/A,"None, mandatory",None,1,25,Number,"Auto-populated by pipe-costs /confirm — records the source attribution for the corresponding rate (e.g. 'Spon's 2024'). Do NOT populate manually. If empty, call /costs/preview first. If /costs/preview has failed, set to 'GPT estimate' to flag that the corresponding rate was not benchmark-sourced.",No,Yes,No,String,Yes,Initial caps,Yes,,,N/A,No,rules,
{{ cost_source_floor }},cost_source_floor,On floor MEP,Strategy,14,GPT,Yes,Source of the information used to calculate the cost of interventions to the on floor MEP systems under the Retrofit Strategy,"None, mandatory",None,1,25,Number,"Auto-populated by pipe-costs /confirm — records the source attribution for the corresponding rate (e.g. 'Spon's 2024'). Do NOT populate manually. If empty, call /costs/preview first. If /costs/preview has failed, set to 'GPT estimate' to flag that the corresponding rate was not benchmark-sourced.",No,Yes,No,String,Yes,Initial caps,Yes,,,N/A,No,rules,
{{ cost_source_ins }},cost_source_ins,Insulation,Strategy,14,GPT,Yes,Source of the information used to calculate the cost of interventions to improve the building fabric insulation under the Retrofit Strategy,"None, mandatory",None,1,25,Number,"Auto-populated by pipe-costs /confirm — records the source attribution for the corresponding rate (e.g. 'Spon's 2024'). Do NOT populate manually. If empty, call /costs/preview first. If /costs/preview has failed, set to 'GPT estimate' to flag that the corresponding rate was not benchmark-sourced.",No,Yes,No,String,Yes,Initial caps,Yes,,,N/A,No,rules,
{{ cost_source_light }},cost_source_light,Lighting,Strategy,14,GPT,Yes,Source of the information used to calculate the cost of interventions to all lighting systems under the Retrofit Strategy,"None, mandatory",None,1,25,Number,"Auto-populated by pipe-costs /confirm — records the source attribution for the corresponding rate (e.g. 'Spon's 2024'). Do NOT populate manually. If empty, call /costs/preview first. If /costs/preview has failed, set to 'GPT estimate' to flag that the corresponding rate was not benchmark-sourced.",No,Yes,No,String,Yes,Initial caps,Yes,,,N/A,No,rules,
{{ cost_source_nia }},cost_source_nia,Additional NIA,Strategy,14,GPT,Yes,Source of the information used to calculate the cost of interventions to increase the net lettable aread under the Retrofit Strategy,"None, mandatory",None,1,25,Number,"Auto-populated by pipe-costs /confirm — records the source attribution for the corresponding rate (e.g. 'Spon's 2024'). Do NOT populate manually. If empty, call /costs/preview first. If /costs/preview has failed, set to 'GPT estimate' to flag that the corresponding rate was not benchmark-sourced.",No,Yes,No,String,Yes,Initial caps,Yes,,,N/A,No,rules,
{{ cost_source_other }},cost_source_other,Other,Strategy,14,GPT,Yes,"Source of the information used to calculate the cost of all other interventionsin your Retrofit Strategy, not included above","None, mandatory",None,1,25,Number,"Auto-populated by pipe-costs /confirm — records the source attribution for the corresponding rate (e.g. 'Spon's 2024'). Do NOT populate manually. If empty, call /costs/preview first. If /costs/preview has failed, set to 'GPT estimate' to flag that the corresponding rate was not benchmark-sourced.",No,Yes,No,String,Yes,Initial caps,Yes,,,N/A,No,rules,
{{ cost_source_plant }},cost_source_plant,Main plant,Strategy,14,GPT,Yes,"Source of the information used to calculate the cost of interventions to the Main Central Plant (chillers, ASHP, AHU, electrics, etc) under the Retrofit Strategy","None, mandatory",None,1,25,Number,"Auto-populated by pipe-costs /confirm — records the source attribution for the corresponding rate (e.g. 'Spon's 2024'). Do NOT populate manually. If empty, call /costs/preview first. If /costs/preview has failed, set to 'GPT estimate' to flag that the corresponding rate was not benchmark-sourced.",No,Yes,No,String,Yes,Initial caps,Yes,,,N/A,No,rules,
{{ cost_source_pv }},cost_source_pv,Renewables / solar,Strategy,14,GPT,Yes,Source of the information used to calculate the cost of interventions to tadd renewables under the Retrofit Strategy,"None, mandatory",None,1,25,Number,"Auto-populated by pipe-costs /confirm — records the source attribution for the corresponding rate (e.g. 'Spon's 2024'). Do NOT populate manually. If empty, call /costs/preview first. If /costs/preview has failed, set to 'GPT estimate' to flag that the corresponding rate was not benchmark-sourced.",No,Yes,No,String,Yes,Initial caps,Yes,,,N/A,No,rules,
{{ cost_source_recept }},cost_source_recept,Reception,Strategy,14,GPT,Yes,Source of the information used to calculate the cost of interventions to improve the reception under the Retrofit Strategy,"None, mandatory",None,1,25,Number,"Auto-populated by pipe-costs /confirm — records the source attribution for the corresponding rate (e.g. 'Spon's 2024'). Do NOT populate manually. If empty, call /costs/preview first. If /costs/preview has failed, set to 'GPT estimate' to flag that the corresponding rate was not benchmark-sourced.",No,Yes,No,String,Yes,Initial caps,Yes,,,N/A,No,rules,
{{ cost_source_water }},cost_source_water,Water systems,Strategy,14,GPT,Yes,Source of the information used to calculate the cost of interventions to the water systems under the Retrofit Strategy,"None, mandatory",None,1,25,Number,"Auto-populated by pipe-costs /confirm — records the source attribution for the corresponding rate (e.g. 'Spon's 2024'). Do NOT populate manually. If empty, call /costs/preview first. If /costs/preview has failed, set to 'GPT estimate' to flag that the corresponding rate was not benchmark-sourced.",No,Yes,No,String,Yes,Initial caps,Yes,,,N/A,No,rules,
